startphrase,ending1,ending2,object,modified_1,modified_2,labels,qid
The girl is as easy to see through as a bowl of grape jelly,The girl is hard to figure out.,The girl is easy to read.,grape jelly,Grape jelly is hard to figure out.,Grape jelly is easy to read.,0,1736
His gaze is like granite,"His gaze is cold, unmoving",His gaze is warm and friendly,granite,"Granite is cold, unmoving",Granite is warm and friendly,0,1740
His gaze is like a teddy bear,"His gaze is cold, unmoving",His gaze is warm and friendly,a teddy bear,"A teddy bear is cold, unmoving",A teddy bear is warm and friendly,1,1740
She entered the room like a snake.,She entered sneakily.,She crashed her way in.,a snake,A snake entered sneakily.,A snake crashed her way in.,0,1742
She entered the room like an elephant.,She entered sneakily.,She crashed her way in.,an elephant,An elephant entered sneakily.,An elephant crashed her way in.,1,1742
The test was a walk in the park.,The test was easy.,The test was hard.,a walk in the park,A walk in the park was easy.,A walk in the park was hard.,0,1743
The test was black death.,The test was easy.,The test was hard.,black death,Black death was easy.,Black death was hard.,1,1743
The cake was as hard as a rock.,The cake was hard.,The cake was light.,a rock,A rock was hard.,A rock was light.,0,1744
The cake was as light as a feather.,The cake was hard.,The cake was light.,as light as a feather,As light as a feather was hard.,As light as a feather was light.,1,1744
Her gaze pierced your soul like a sharp sword.,She could look right through you.,She only sees the outside of a person.,a sharp sword,A sharp sword could look right through you.,A sharp sword only sees the outside of a person.,0,1746
Her gaze pierced your soul like piece of salami.,She could look right through you.,She only sees the outside of a person.,piece of salami,Piece of salami could look right through you.,Piece of salami only sees the outside of a person.,1,1746
The argument has the sting of a violent war,The argument was biting,The argument was weak,a violent war,A violent war was biting,A violent war was weak,0,1747
The argument has the sting of a marshmallow fortress,The argument was biting,The argument was weak,a marshmallow fortress,A marshmallow fortress was biting,A marshmallow fortress was weak,1,1747
The girl has the beauty of the Mona Lisa,The girl is beautiful.,The girl is ugly.,the Mona Lisa,The mona lisa is beautiful.,The mona lisa is ugly.,0,1750
The girl has the beauty of a trash can,The girl is beautiful.,The girl is ugly.,a trash ,A trash is beautiful.,A trash is ugly.,1,1750
The weather outside has the temperature of a volcano,The weather outside is very hot.,The weather outside is very cold.,a volcano,A volcano is very hot.,A volcano is very cold.,0,1751
The weather outside has the temperature of the arctic,The weather outside is very hot.,The weather outside is very cold.,the arctic,The arctic is very hot.,The arctic is very cold.,1,1751
The argument is as well written as Twilight,The argument is written badly,The argument is written well,Twilight,Twilight is written badly,Twilight is written well,0,1752
The argument is as well written as The Great Gatsby,The argument is written badly,The argument is written well,The Great Gatsby,The great gatsby is written badly,The great gatsby is written well,1,1752
The document is as official as a government treaty,The document has a lot of formalities.,The document isn't official at all.,a government treaty,A government treaty has a lot of formalities.,A government treaty isn't official at all.,0,1760
The document is as official as some writing on a napkin,The document has a lot of formalities.,The document isn't official at all.,some writing on a napkin,Some writing on a napkin has a lot of formalities.,Some writing on a napkin isn't official at all.,1,1760
The gamer was a god.,The gamer has exceptional skills and impressive powers and abilities in the game.,"The gamer was new, not execeptional,  and below average.",a god,A god has exceptional skills and impressive powers and abilities in the game.,"A god was new, not execeptional,  and below average.",0,1764
The gamer was a peon.,The gamer has exceptional skills and impressive powers and abilities in the game.,"The gamer was new, not execeptional,  and below average.",a peon,A peon has exceptional skills and impressive powers and abilities in the game.,"A peon was new, not execeptional,  and below average.",1,1764
The lawyer is A pig,The lawyer is lazy,The lawyer guides his client very well in the lawsuit,A pig,A pig is lazy,A pig guides his client very well in the lawsuit,0,1769
The lawyer is A lighthouse for his client,The lawyer is lazy,The lawyer guides his client very well in the lawsuit,A lighthouse for his client,A lighthouse for his client is lazy,A lighthouse for his client guides his client very well in the lawsuit,1,1769
The car hit the rail like A bowling ball hitting pins,The car hit hard,The car hit softly,A bowling ball hitting pins,A bowling ball hitting pins hit hard,A bowling ball hitting pins hit softly,0,1776
The car hit the rail like A feather landing,The car hit hard,The car hit softly,A feather landing,A feather landing hit hard,A feather landing hit softly,1,1776
She runs like a rocket,She runs and sprints very fast.,She runs in a very slow and labored pace.,a rocket,A rocket runs and sprints very fast.,A rocket runs in a very slow and labored pace.,0,1785
She runs like a slug,She runs and sprints very fast.,She runs in a very slow and labored pace.,a slug,A slug runs and sprints very fast.,A slug runs in a very slow and labored pace.,1,1785
The family was as friendly as a pack of wolves,The family was very mean.,The family was very friendly.,a pack of wolves,A pack of wolves was very mean.,A pack of wolves was very friendly.,0,1791
The family was as friendly as a greeter at Disneyland,The family was very mean.,The family was very friendly.,a greeter at Disneyland,A greeter at disneyland was very mean.,A greeter at disneyland was very friendly.,1,1791
She is as fast as light coming out of the big bang,She is fast,She is slow,light coming out of the big bang,Light coming out of the big bang is fast,Light coming out of the big bang is slow,0,1795
Time is as precious as a piece of gold,Time is very important,Time can be thrown away,a piece of gold,A piece of gold is very important,A piece of gold can be thrown away,0,1799
Time is as precious as a piece of garbage,Time is very important,Time can be thrown away,a piece of garbage,A piece of garbage is very important,A piece of garbage can be thrown away,1,1799
The milk was a cold as as a warm blanket,The milk was not cold at all,The milk was very cold,a cold as as a warm blanket,A cold as as a warm blanket was not cold at all,A cold as as a warm blanket was very cold,0,1801
The milk was a cold as as an icicle in a snowstorm,The milk was not cold at all,The milk was very cold,a cold as as an icicle in a snowstorm,A cold as as an icicle in a snowstorm was not cold at all,A cold as as an icicle in a snowstorm was very cold,1,1801
The group drinking at the bar was as loud as a butterfly landing on a flower,The group was very quiet,The group was very loud,a butterfly landing on a flower,A butterfly landing on a flower was very quiet,A butterfly landing on a flower was very loud,0,1803
The group drinking at the bar was as loud as a dump truck picking up broken glass,The group was very quiet,The group was very loud,a dump truck picking up broken glass,A dump truck picking up broken glass was very quiet,A dump truck picking up broken glass was very loud,1,1803
The train was a fast as a New York Minute,The train was very fast,The train was very slow,a fast as a New York Minute,A fast as a new york minute was very fast,A fast as a new york minute was very slow,0,1804
The train was a fast as a 80 year old,The train was very fast,The train was very slow,a fast as a 80 year old,A fast as a 80 year old was very fast,A fast as a 80 year old was very slow,1,1804
The professor's argument had the clarity of a crystal glass,"The argument is very clear, easy to see, almost transparent","The argument is impenetrable, hard to see, not clear.",a crystal glass,"A crystal glass is very clear, easy to see, almost transparent","A crystal glass is impenetrable, hard to see, not clear.",0,1806
The professor's argument had the clarity of a marine fog,"The argument is very clear, easy to see, almost transparent","The argument is impenetrable, hard to see, not clear.",a marine fog,"A marine fog is very clear, easy to see, almost transparent","A marine fog is impenetrable, hard to see, not clear.",1,1806
The fortress was as solid as the deepest earthen bedrock,"The fortress is strong, durable, and hard.","The fortress is flimsy, fragile, and weak.",the deepest earthen bedrock,"The deepest earthen bedrock is strong, durable, and hard.","The deepest earthen bedrock is flimsy, fragile, and weak.",0,1807
The fortress was as solid as a tattered mosquito netting,"The fortress is strong, durable, and hard.","The fortress is flimsy, fragile, and weak.",a tattered mosquito netting,"A tattered mosquito netting is strong, durable, and hard.","A tattered mosquito netting is flimsy, fragile, and weak.",1,1807
The dancer had the grace of an elephant.,The dancer was clumsy,The dancer was light on her feet.,an elephant,An elephant was clumsy,An elephant was light on her feet.,0,1810
The dancer had the grace of a buttefly in flight.,The dancer was clumsy,The dancer was light on her feet.,a buttefly ,A buttefly was clumsy,A buttefly was light on her feet.,1,1810
